arabic_name,english_name,brand,gender,exact_variant,price_jod,image_filename,confidence_score,notes
جود جيرل بلاك من كارولينا هيريرا,Good Girl Blush,Carolina Herrera,Women,Good Girl Blush,40,carolina-herrera-good-girl-blush.png,85,Reference image appears Good Girl Blush; Arabic says black. Verify.
دولشي جابانا ليل ملكي,The One Royal Night,Dolce & Gabbana,Men,The One Royal Night,40,dolce-gabbana-the-one-royal-night.png,60,NEEDS REVIEW: inferred from Arabic 'ليل ملكي'; reference poster may show a different product.
ديمارلي لايتون,Layton,Parfums de Marly,Men,Layton,65,parfums-de-marly-layton.png,99,
ديمارلي كايلان,Kalan,Parfums de Marly,Unisex,Kalan,85,parfums-de-marly-kalan.png,99,
ديمارلي الثائر,Althaïr,Parfums de Marly,Men,Althaïr,65,parfums-de-marly-althair.png,80,Arabic 'الثائر' likely refers to Althaïr; verify.
لي ميل الكسير,Le Male Elixir,Jean Paul Gaultier,Men,Le Male Elixir,55,jean-paul-gaultier-le-male-elixir.png,99,
مانسيرا رد توباكو,Red Tobacco,Mancera,Unisex,Red Tobacco,45,mancera-red-tobacco.png,99,
ارماني كود بيرفيوم,Armani Code Parfum,Giorgio Armani,Men,Armani Code Parfum,44,giorgio-armani-code-parfum.png,99,
ماي سلف إيف سان لوران,MYSLF,Yves Saint Laurent,Men,MYSLF,43,ysl-myslf.png,99,
مونت بلانك ليجند,Legend,Montblanc,Men,Legend,39,montblanc-legend.png,90,Verify concentration.
مونت بلانك اكسبلورر,Explorer,Montblanc,Men,Explorer,49,montblanc-explorer.png,99,
ارماني بريف روج ملكيت,Rouge Malachite,Armani/Privé,Unisex,Rouge Malachite,107,armani-prive-rouge-malachite.png,99,
